Site;ASV;Node_Category;Eigen_Centrality;Degree_Centrality;Betweenness_Centrality;Membership
Chanaral;ASV0001;Core;0,001412631;23;2182,273513;1
Chanaral;ASV0003;Core;0,000905013;23;1301,906486;1
Chanaral;ASV0006;Core;0,000905013;23;1301,906486;1
Chanaral;ASV0008;Core;0,000902005;21;763,6546221;1
Chanaral;ASV0013;Core;0,002096557;33;23557,74716;1
Chanaral;ASV0016;Core;0,000868404;32;4576,137012;1
Chanaral;ASV0017;Core;0,000664602;31;3670,008763;1
Chanaral;ASV0021;Core;0,000132132;15;9,023184876;1
Chanaral;ASV0023;Core;0,000913674;48;22436,3894;1
Chanaral;ASV0025;Core;0;2;0;35
Chanaral;ASV0029;Core;0,00018227;18;26,93309509;1
Chanaral;ASV0030;Core;0,014222435;25;13050,10973;1
Chanaral;ASV0032;Core;5,62E-07;2;0;26
Chanaral;ASV0034;Core;8,84E-05;12;6,038517432;1
Chanaral;ASV0035;Core;0,001412573;48;35759,82237;1
Chanaral;ASV0036;Core;0,000709703;23;1240,895873;1
Chanaral;ASV0037;Core;0;2;0;35
Chanaral;ASV0038;Core;0,000913786;48;17705,16691;1
Chanaral;ASV0039;Core;0;2;0;35
Chanaral;ASV0040;Core;2,01E-05;3;949,5;26
Chanaral;ASV0042;Core;0;3;0;23
Chanaral;ASV0043;Core;2,01E-05;3;949,5;26
Chanaral;ASV0045;Core;0,013342668;11;8,310496898;1
Chanaral;ASV0048;Core;5,01E-05;24;40,79157089;1
Chanaral;ASV0050;Core;0,00045087;19;523,437799;1
Chanaral;ASV0053;Core;0,00045087;19;523,437799;1
Chanaral;ASV0056;Core;4,29E-05;25;12069,39406;1
Chanaral;ASV0063;Core;1,59E-05;4;0;1
Chanaral;ASV0064;Core;4,10E-05;21;26,59438327;1
Chanaral;ASV0071;Core;0;1;0;58
Chanaral;ASV0072;Core;8,34E-05;43;5781,523889;1
Chanaral;ASV0073;Core;6,89E-05;31;567,2098221;1
Chanaral;ASV0077;Core;0,000107089;3;0;22
Chanaral;ASV0081;Core;0;1;0;58
Chanaral;ASV0083;Core;6,18E-05;36;3442,276011;1
Chanaral;ASV0085;Core;5,18E-05;27;388,1126319;1
Chanaral;ASV0086;Core;0;1;0;48
Chanaral;ASV0097;Core;0,000113105;11;189,1783065;1
Chanaral;ASV0101;Core;6,40E-05;17;15881,72756;1
Chanaral;ASV0102;Core;5,95E-05;28;530,2122739;1
Chanaral;ASV0104;Core;0,000164637;36;5705,207021;1
Chanaral;ASV0107;Core;0,000721009;10;1220,316411;1
Chanaral;ASV0118;Core;6,30E-05;29;733,5091816;1
Chanaral;ASV0120;Core;0,000107089;3;0;22
Chanaral;ASV0127;Core;0,000107089;3;0;22
Chanaral;ASV0134;Core;4,50E-05;31;1438,891235;1
Chanaral;ASV0135;Core;0;1;0;42
Chanaral;ASV0142;Core;0,000162062;38;4887,519601;1
Chanaral;ASV0143;Core;5,55E-06;5;6669,091264;1
Chanaral;ASV0145;Core;5,88E-05;31;4543,314314;1
Chanaral;ASV0147;Core;0,000141342;36;4308,220865;1
Chanaral;ASV0206;Core;0,008681308;9;4666,266851;2
Chanaral;ASV0210;Core;0,000100333;35;4905,170863;1
Chanaral;ASV0223;Core;5,09E-05;27;2614,052849;1
Chanaral;ASV0238;Core;4,34E-06;4;261,2055667;1
Chanaral;ASV0261;Core;0,000160842;49;53649,42631;1
Chanaral;ASV0270;Core;6,34E-06;5;2,033984501;1
Chanaral;ASV0273;Core;8,04E-05;20;575,0997222;1
Chanaral;ASV0277;Core;0,000121631;43;4179,147916;1
Chanaral;ASV0279;Core;0,000754642;30;12664,03275;1
Chanaral;ASV0315;Core;0,017884074;25;7138,425307;1
Chanaral;ASV0382;Core;0,013629731;16;3428,304058;2
Chanaral;ASV0395;Core;0,020161472;16;1971,582539;2
Chanaral;ASV0403;Core;7,51E-05;41;4861,268584;1
Chanaral;ASV0442;Core;0;2;1;41
Chanaral;ASV0452;Core;0,113938365;17;1957,783445;2
Chanaral;ASV0462;Core;0,003247367;3;2170,686972;2
Chanaral;ASV0510;Core;6,18E-05;6;1,863623014;1
Chanaral;ASV0561;Core;6,84E-05;29;1470,386433;1
Chanaral;ASV0631;Core;8,66E-05;41;4604,537923;1
Chanaral;ASV0688;Core;0;1;0;44
Chanaral;ASV0711;Core;8,16E-05;37;1859,052973;1
Chanaral;ASV0775;Core;7,28E-09;3;0;21
Chanaral;ASV0799;Core;0,000435062;5;0;5
Chanaral;ASV0834;Core;4,42E-06;2;0;8
Chanaral;ASV0838;Core;4,22E-06;1;0;1
Chanaral;ASV0867;Core;6,92E-05;11;537,3636322;1
Chanaral;ASV0882;Core;4,31E-05;5;0,019607843;1
Chanaral;ASV0932;Core;0,015952048;3;1900;2
Chanaral;ASV1079;Core;7,60E-05;11;58,96183611;1
Chanaral;ASV1112;Core;0,000435236;6;785,5415977;5
Chanaral;ASV1119;Core;4,92E-05;7;41,25132396;1
Chanaral;ASV1191;Core;7,28E-09;3;0;21
Chanaral;ASV1207;Core;0,000133095;16;5128,842483;1
Chanaral;ASV1272;Core;1,17E-05;2;0;7
Chanaral;ASV1335;Core;7,28E-09;3;0;21
Chanaral;ASV1389;Core;1,26E-05;2;0;5
Chanaral;ASV1403;Core;4,33E-08;1;0;6
Chanaral;ASV1411;Core;0;1;0;44
Chanaral;ASV1412;Core;0;1;0;48
Chanaral;ASV1506;Core;5,05E-07;4;5694;21
Chanaral;ASV1593;Core;4,10E-05;8;0,333333333;1
Chanaral;ASV1742;Core;0;1;0;42
Chanaral;ASV2590;Core;0,292931226;37;2697,818623;2
Flamenco;ASV0001;Core;0,000380587;24;3400,580331;3
Flamenco;ASV0003;Core;0,000228213;24;2596,467152;3
Flamenco;ASV0006;Core;0,000228213;24;2596,467152;3
Flamenco;ASV0008;Core;0,000227065;22;1326,452725;3
Flamenco;ASV0013;Core;0,000586454;33;33247,04567;3
Flamenco;ASV0016;Core;0,000203904;32;3834,504226;3
Flamenco;ASV0017;Core;0,00015382;31;3457,172341;3
Flamenco;ASV0021;Core;2,52E-05;15;26,31955035;3
Flamenco;ASV0023;Core;0,00021811;47;18739,60567;3
Flamenco;ASV0025;Core;1,16E-18;2;0;33
Flamenco;ASV0029;Core;3,52E-05;18;49,0935536;3
Flamenco;ASV0030;Core;0,004567544;25;9411,156783;3
Flamenco;ASV0032;Core;8,44E-08;2;0;3
Flamenco;ASV0034;Core;1,65E-05;12;16,16423306;3
Flamenco;ASV0035;Core;0,000364875;47;29878,84484;3
Flamenco;ASV0036;Core;0,000179386;24;2314,371919;3
Flamenco;ASV0037;Core;1,92E-18;2;0;33
Flamenco;ASV0038;Core;0,000215068;47;12352,17201;3
Flamenco;ASV0039;Core;1,54E-18;2;0;33
Flamenco;ASV0040;Core;3,95E-06;3;1037;3
Flamenco;ASV0043;Core;3,95E-06;3;1037;3
Flamenco;ASV0045;Core;0,004496736;11;8,437622334;3
Flamenco;ASV0048;Core;1,39E-05;24;51,11874874;3
Flamenco;ASV0050;Core;0,000113772;20;1148,345868;3
Flamenco;ASV0053;Core;0,000113772;20;1148,345868;3
Flamenco;ASV0056;Core;1,89E-05;25;4729,811562;3
Flamenco;ASV0063;Core;3,04E-06;4;0;3
Flamenco;ASV0064;Core;1,04E-05;21;33,80370362;3
Flamenco;ASV0071;Core;8,99E-19;1;0;56
Flamenco;ASV0072;Core;3,67E-05;43;6333,969582;3
Flamenco;ASV0073;Core;2,04E-05;31;444,260413;3
Flamenco;ASV0077;Core;3,03E-05;3;0;21
Flamenco;ASV0081;Core;9,45E-20;1;0;56
Flamenco;ASV0083;Core;3,09E-05;36;3007,560697;3
Flamenco;ASV0085;Core;1,46E-05;27;375,6750993;3
Flamenco;ASV0086;Core;1,07E-18;1;0;49
Flamenco;ASV0097;Core;2,20E-05;11;189,5413274;3
Flamenco;ASV0101;Core;1,35E-05;17;17437,69159;3
Flamenco;ASV0102;Core;1,72E-05;28;632,0577874;3
Flamenco;ASV0104;Core;4,80E-05;36;5904,786937;3
Flamenco;ASV0107;Core;0,000176409;10;859,7760473;3
Flamenco;ASV0118;Core;1,82E-05;29;789,103225;3
Flamenco;ASV0120;Core;3,03E-05;3;0;21
Flamenco;ASV0127;Core;3,03E-05;3;0;21
Flamenco;ASV0134;Core;1,65E-05;31;2270,105016;3
Flamenco;ASV0135;Core;7,68E-08;2;2075;3
Flamenco;ASV0142;Core;4,67E-05;38;5556,21195;3
Flamenco;ASV0143;Core;2,41E-06;5;7516,730418;4
Flamenco;ASV0145;Core;2,04E-05;31;4944,149678;3
Flamenco;ASV0147;Core;3,91E-05;36;4514,858649;3
Flamenco;ASV0206;Core;0,003364952;9;2196,088882;3
Flamenco;ASV0210;Core;2,89E-05;35;5221,185285;3
Flamenco;ASV0223;Core;2,10E-05;27;1849,52038;3
Flamenco;ASV0238;Core;1,05E-07;4;1506,273248;4
Flamenco;ASV0261;Core;5,45E-05;48;28502,3166;3
Flamenco;ASV0270;Core;2,24E-06;5;0,832409616;3
Flamenco;ASV0273;Core;2,18E-05;20;1492,0138;3
Flamenco;ASV0277;Core;4,26E-05;43;7075,322529;3
Flamenco;ASV0279;Core;0,000257148;30;12282,89627;3
Flamenco;ASV0315;Core;0,006856845;25;9987,344082;3
Flamenco;ASV0382;Core;0,006637943;20;1490,573319;3
Flamenco;ASV0395;Core;0,009933137;19;955,0682002;3
Flamenco;ASV0403;Core;3,21E-05;41;4282,513415;3
Flamenco;ASV0452;Core;0,053483353;17;2167,62124;2
Flamenco;ASV0462;Core;0,00111113;2;187,5766411;3
Flamenco;ASV0510;Core;1,53E-05;5;10,35499969;3
Flamenco;ASV0561;Core;2,02E-05;29;1889,348525;3
Flamenco;ASV0631;Core;3,40E-05;41;6359,750154;3
Flamenco;ASV0688;Core;1,01E-18;1;0;40
Flamenco;ASV0711;Core;3,27E-05;37;1834,324988;3
Flamenco;ASV0775;Core;3,39E-09;3;0;24
Flamenco;ASV0799;Core;0,000221225;5;0;2
Flamenco;ASV0834;Core;3,95E-06;3;168,066397;3
Flamenco;ASV0867;Core;1,12E-05;10;15,69471434;3
Flamenco;ASV0882;Core;2,47E-06;2;0;4
Flamenco;ASV0932;Core;0,006535741;3;2075;3
Flamenco;ASV1079;Core;1,52E-05;11;137,7085709;3
Flamenco;ASV1112;Core;0,000221278;6;832,4201992;2
Flamenco;ASV1119;Core;1,04E-05;7;106,7000758;3
Flamenco;ASV1191;Core;3,39E-09;3;0;24
Flamenco;ASV1207;Core;3,01E-05;16;3248,704263;3
Flamenco;ASV1272;Core;2,67E-06;2;0;4
Flamenco;ASV1335;Core;3,39E-09;3;0;24
Flamenco;ASV1389;Core;4,99E-06;2;0;2
Flamenco;ASV1403;Core;3,69E-06;1;0;3
Flamenco;ASV1411;Core;7,06E-20;1;0;40
Flamenco;ASV1412;Core;7,52E-19;1;0;49
Flamenco;ASV1506;Core;3,10E-07;4;6219;24
Flamenco;ASV1593;Core;7,42E-06;8;0,333333333;3
Flamenco;ASV1742;Core;8,21E-10;1;0;3
Flamenco;ASV2590;Core;0,143279605;38;5994,061386;2
Huasco;ASV0001;Core;0,000352502;22;4563,310383;1
Huasco;ASV0003;Core;0,000352993;23;5000,169123;1
Huasco;ASV0006;Core;0,000352993;23;5000,169123;1
Huasco;ASV0008;Core;0,000242527;21;2415,927446;1
Huasco;ASV0013;Core;5,99E-05;30;5067,116601;1
Huasco;ASV0016;Core;6,01E-05;31;5247,811724;1
Huasco;ASV0017;Core;6,01E-05;31;5247,811724;1
Huasco;ASV0021;Core;5,10E-05;15;67,41519216;1
Huasco;ASV0023;Core;0,00066936;47;21088,72127;1
Huasco;ASV0025;Core;1,30E-17;2;0;43
Huasco;ASV0029;Core;5,34E-05;18;80,11013462;1
Huasco;ASV0030;Core;4,44E-05;17;8522,565034;1
Huasco;ASV0032;Core;1,55E-07;2;0;33
Huasco;ASV0034;Core;3,68E-05;12;39,07787118;1
Huasco;ASV0035;Core;0,000417448;46;22307,66095;1
Huasco;ASV0036;Core;0,000243483;23;4368,596939;1
Huasco;ASV0037;Core;1,36E-17;2;0;43
Huasco;ASV0038;Core;0,000502205;47;15229,36323;1
Huasco;ASV0039;Core;1,37E-17;2;0;43
Huasco;ASV0040;Core;5,72E-06;3;1080,5;33
Huasco;ASV0042;Core;2,12E-17;3;0;30
Huasco;ASV0043;Core;5,72E-06;3;1080,5;33
Huasco;ASV0045;Core;1,24E-06;5;323,0298761;3
Huasco;ASV0048;Core;0,002347007;24;41,69618542;1
Huasco;ASV0050;Core;0,000241936;20;2205,718262;1
Huasco;ASV0053;Core;0,000241936;20;2205,718262;1
Huasco;ASV0056;Core;0,005725109;25;9439,185056;1
Huasco;ASV0063;Core;7,86E-05;4;0;1
Huasco;ASV0064;Core;0,001654003;21;29,00851152;1
Huasco;ASV0071;Core;7,86E-18;1;0;72
Huasco;ASV0072;Core;0,009758033;43;13369,17346;1
Huasco;ASV0073;Core;0,004159653;31;437,1559281;1
Huasco;ASV0077;Core;2,83E-08;3;0;29
Huasco;ASV0081;Core;7,72E-18;1;0;72
Huasco;ASV0083;Core;0,009106136;36;7301,692733;1
Huasco;ASV0085;Core;0,004107159;27;394,3525288;1
Huasco;ASV0086;Core;8,45E-18;1;0;61
Huasco;ASV0097;Core;0,000138904;11;188,1110081;1
Huasco;ASV0101;Core;0,0016081;17;23595,9131;1
Huasco;ASV0102;Core;0,003899689;28;683,0533961;1
Huasco;ASV0104;Core;0,002752893;36;7760,771014;1
Huasco;ASV0107;Core;8,16E-05;8;225,3861024;1
Huasco;ASV0118;Core;0,003724437;29;431,9020251;1
Huasco;ASV0120;Core;2,83E-08;3;0;29
Huasco;ASV0127;Core;2,83E-08;3;0;29
Huasco;ASV0134;Core;0,006197812;31;1944,855896;1
Huasco;ASV0135;Core;8,98E-08;4;2162;3
Huasco;ASV0142;Core;0,002831227;38;7996,848322;1
Huasco;ASV0143;Core;0,001306658;4;7593,404898;1
Huasco;ASV0145;Core;0,006500289;31;4034,893641;1
Huasco;ASV0147;Core;0,002766118;36;6390,735404;1
Huasco;ASV0206;Core;6,55E-06;9;4052,59535;3
Huasco;ASV0210;Core;0,003300696;35;5154,00474;1
Huasco;ASV0223;Core;0,008135054;27;2224,393222;1
Huasco;ASV0238;Core;3,43E-05;2;9,670612125;1
Huasco;ASV0261;Core;0,013354004;49;44142,72968;1
Huasco;ASV0270;Core;0,001736504;5;2,329641109;1
Huasco;ASV0273;Core;0,00096826;21;3692,136855;1
Huasco;ASV0277;Core;0,005841808;43;8169,474162;1
Huasco;ASV0279;Core;0,001615986;30;10433,12287;1
Huasco;ASV0315;Core;3,01E-05;13;6943,677629;1
Huasco;ASV0382;Core;2,47E-05;22;3095,478608;3
Huasco;ASV0395;Core;2,19E-05;21;2727,13256;3
Huasco;ASV0403;Core;0,01298353;41;5016,723432;1
Huasco;ASV0442;Core;1,41E-17;2;1;50
Huasco;ASV0452;Core;4,22E-05;7;103,9244016;3
Huasco;ASV0456;Core;6,51E-07;1;0;3
Huasco;ASV0462;Core;3,74E-07;2;54,91357224;3
Huasco;ASV0510;Core;4,58E-05;6;15,19733325;1
Huasco;ASV0561;Core;0,004511202;29;982,9470015;1
Huasco;ASV0569;Core;6,51E-07;1;0;3
Huasco;ASV0631;Core;0,014139916;41;3679,778621;1
Huasco;ASV0688;Core;2,22E-08;1;0;3
Huasco;ASV0711;Core;0,0132558;37;2094,709144;1
Huasco;ASV0775;Core;4,02E-07;3;0;24
Huasco;ASV0799;Core;6,44E-18;1;0;51
Huasco;ASV0834;Core;6,32E-06;1;0;3
Huasco;ASV0838;Core;5,85E-05;1;0;3
Huasco;ASV0867;Core;1,69E-05;11;932,7124411;1
Huasco;ASV0882;Core;0,001469601;4;0,033333333;1
Huasco;ASV0932;Core;9,85E-06;3;2162;3
Huasco;ASV1079;Core;3,16E-05;11;149,8885054;1
Huasco;ASV1112;Core;1,49E-17;2;1;51
Huasco;ASV1119;Core;1,80E-05;7;105,6051988;1
Huasco;ASV1191;Core;4,02E-07;3;0;24
Huasco;ASV1207;Core;0,001891571;17;10473,42904;1
Huasco;ASV1335;Core;4,02E-07;3;0;24
Huasco;ASV1389;Core;7,93E-18;1;0;51
Huasco;ASV1403;Core;4,28E-08;1;0;3
Huasco;ASV1411;Core;1,64E-06;3;2162;3
Huasco;ASV1412;Core;7,14E-18;1;0;61
Huasco;ASV1506;Core;2,90E-05;4;6480;24
Huasco;ASV1593;Core;1,52E-05;8;0,333333333;1
Huasco;ASV1742;Core;1,21E-09;1;0;3
Huasco;ASV2590;Core;6,09E-05;13;2281,450937;3
Pta_Choros;ASV0001;Core;1,36E-06;23;3742,266727;1
Pta_Choros;ASV0003;Core;5,40E-07;23;1530,549331;1
